CD,Neighborhood,Bike_Commute_Pct,Bike_Commute_Count,NO2_Value,Pop_Density,Car_Commute_Pct,PM25_Value
001,Bronx,0.3545454545454545,"2,5892,5892,6872,6872,3182,3182,0562,0562,3162,3161,9091,9091,7261,7261,8041,8041,6701,6701,4771,4771,4181,418",18.56,50354,28.13636363636364,37.0
001,Bronx,0.3545454545454545,"2,5892,5892,6872,6872,3182,3182,0562,0562,3162,3161,9091,9091,7261,7261,8041,8041,6701,6701,4771,4771,4181,418",18.56,50354,28.13636363636364,12.0
001,Bronx,0.3545454545454545,"2,5892,5892,6872,6872,3182,3182,0562,0562,3162,3161,9091,9091,7261,7261,8041,8041,6701,6701,4771,4771,4181,418",18.56,50354,28.13636363636364,28.0
001,Bronx,0.3545454545454545,"2,5892,5892,6872,6872,3182,3182,0562,0562,3162,3161,9091,9091,7261,7261,8041,8041,6701,6701,4771,4771,4181,418",18.56,50354,28.13636363636364,62.0
001,Bronx,0.3545454545454545,"2,5892,5892,6872,6872,3182,3182,0562,0562,3162,3161,9091,9091,7261,7261,8041,8041,6701,6701,4771,4771,4181,418",18.56,50354,28.13636363636364,7.0
001,Bronx,0.3545454545454545,"2,5892,5892,6872,6872,3182,3182,0562,0562,3162,3161,9091,9091,7261,7261,8041,8041,6701,6701,4771,4771,4181,418",18.56,50354,28.13636363636364,10.0
001,Bronx,0.3545454545454545,"2,5892,5892,6872,6872,3182,3182,0562,0562,3162,3161,9091,9091,7261,7261,8041,8041,6701,6701,4771,4771,4181,418",18.56,50354,28.13636363636364,33.0
001,Bronx,0.3545454545454545,"2,5892,5892,6872,6872,3182,3182,0562,0562,3162,3161,9091,9091,7261,7261,8041,8041,6701,6701,4771,4771,4181,418",18.56,50354,28.13636363636364,108.0
001,Bronx,0.3545454545454545,"2,5892,5892,6872,6872,3182,3182,0562,0562,3162,3161,9091,9091,7261,7261,8041,8041,6701,6701,4771,4771,4181,418",18.56,50354,28.13636363636364,52.0
001,Bronx,0.3545454545454545,"2,5892,5892,6872,6872,3182,3182,0562,0562,3162,3161,9091,9091,7261,7261,8041,8041,6701,6701,4771,4771,4181,418",18.56,50354,28.13636363636364,12.0
001,Mott Haven/Hunts Point,0.4888888888888889,310310280280316316285285182182227227205205190190199199,18.56,50488,16.311111111111114,37.0
001,Mott Haven/Hunts Point,0.4888888888888889,310310280280316316285285182182227227205205190190199199,18.56,50488,16.311111111111114,12.0
001,Mott Haven/Hunts Point,0.4888888888888889,310310280280316316285285182182227227205205190190199199,18.56,50488,16.311111111111114,28.0
001,Mott Haven/Hunts Point,0.4888888888888889,310310280280316316285285182182227227205205190190199199,18.56,50488,16.311111111111114,62.0
001,Mott Haven/Hunts Point,0.4888888888888889,310310280280316316285285182182227227205205190190199199,18.56,50488,16.311111111111114,7.0
001,Mott Haven/Hunts Point,0.4888888888888889,310310280280316316285285182182227227205205190190199199,18.56,50488,16.311111111111114,10.0
001,Mott Haven/Hunts Point,0.4888888888888889,310310280280316316285285182182227227205205190190199199,18.56,50488,16.311111111111114,33.0
001,Mott Haven/Hunts Point,0.4888888888888889,310310280280316316285285182182227227205205190190199199,18.56,50488,16.311111111111114,108.0
